PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,15:00,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+\-
Mikal Bridges,PHX,25,82,64,18,2854,1162,458,858,53.4,115,312,36.9,131,157,83.4,74,273,347,185,68,96,36,150,0,0,576
Miles Bridges,CHA,24,80,41,39,2837,1613,596,1214,49.1,154,465,33.1,267,333,80.2,90,469,559,300,150,74,67,193,15,0,142
DeMar DeRozan,CHI,32,76,43,33,2743,2118,774,1535,50.4,50,142,35.2,520,593,87.7,56,336,392,374,181,68,24,178,6,0,77
Jayson Tatum,BOS,24,76,49,27,2731,2046,708,1564,45.3,230,651,35.3,400,469,85.3,85,524,609,334,217,75,49,174,22,0,667
Saddiq Bey,DET,23,82,23,59,2704,1321,450,1136,39.6,211,610,34.6,210,254,82.7,107,334,441,233,96,73,16,128,6,0,-499
Tyrese Haliburton,IND,22,77,26,51,2694,1181,430,909,47.3,161,389,41.4,160,190,84.2,61,250,311,628,199,134,49,121,25,0,-327
Russell Westbrook,LAL,33,78,31,47,2678,1441,548,1233,44.4,79,265,29.8,266,399,66.7,110,470,580,550,295,75,20,235,28,10,-211
Trae Young,ATL,23,76,40,36,2652,2155,711,1544,46,233,610,38.2,500,553,90.4,50,234,284,737,303,72,7,128,42,0,159
Tyrese Maxey,PHI,21,75,45,30,2650,1311,483,995,48.5,132,309,42.7,213,246,86.6,26,214,240,321,88,55,32,156,1,0,192
Dorian Finney-Smith,DAL,28,80,51,29,2644,880,326,692,47.1,172,435,39.5,56,83,67.5,122,253,375,150,80,88,39,183,1,0,241
Scottie Barnes,TOR,20,74,43,31,2617,1134,459,932,49.2,58,193,30.1,158,215,73.5,195,362,557,256,136,80,55,192,13,0,66
Harrison Barnes,SAC,29,77,27,50,2587,1265,391,834,46.9,142,360,39.4,341,413,82.6,82,350,432,186,118,53,14,94,5,0,-374
